AX,AY,AZ
0.004222354,0.004954834,121.429509
0.004246349,0.004972822,121.0546626
0.004270061,0.004990291,120.64863
0.00429348,0.005007226,120.2009927
0.004316597,0.005023618,119.6977015
0.004339402,0.005039458,119.1236491
0.004361887,0.005054742,118.4645562
0.004384046,0.005069475,117.7117169
0.004405875,0.005083667,116.8657098
0.004427374,0.005097331,115.9354651
0.004448544,0.005110483,114.9316131
0.004469381,0.00512314,113.8577643
0.004489877,0.005135322,112.7067978
0.004510022,0.005147048,111.465607
0.004529806,0.005158337,110.1232724
0.004549218,0.005169206,108.6748941
0.004568248,0.005179667,107.119929
0.004586886,0.005189728,105.459717
0.004605125,0.005199393,103.6968723
0.004622954,0.005208661,101.8354461
0.004640361,0.005217524,99.88064231
0.004657337,0.005225972,97.83752005
0.004673872,0.005233993,95.70825583
0.004689959,0.005241578,93.48948705
0.004705594,0.005248718,91.1728799
0.004720774,0.005255406,88.74946917
0.004735496,0.005261642,86.214059
0.004749758,0.005267425,83.56633827
0.004763558,0.005272759,80.8100695
0.00477689,0.005277648,77.95298757
0.004789743,0.005282096,75.00633333
0.004802103,0.005286107,71.98173067
0.004813947,0.005289689,68.88644124
0.004825254,0.005292845,65.72078907
0.004835995,0.005295579,62.48081724
0.004846148,0.005297892,59.16528434
0.00485569,0.005299786,55.78144423
0.004864603,0.005301261,52.3436671
0.004872874,0.005302317,48.8652467
0.004880489,0.005302956,45.35107963
0.00488744,0.005303179,41.79851712
0.004893719,0.005302982,38.20503078
0.00489932,0.005302365,34.57413425
0.004904239,0.005301324,30.91365956
0.004908472,0.00529986,27.22924758
0.004912017,0.005297979,23.52025167
0.004914872,0.00529569,19.78176573
0.004917036,0.00529301,16.01060673
0.004918507,0.005289957,12.21010073
0.004919285,0.005286549,8.389738278
0.00491937,0.005282801,4.560124912
0.004918763,0.005278728,0.728073697
0.004917464,0.005274341,-3.103252728
0.004915471,0.005269652,-6.929495259
0.004912783,0.005264673,-10.74090039
0.004909399,0.005259416,-14.52343547
0.004905319,0.005253891,-18.26471015
0.004900548,0.005248106,-21.95933007
0.004895096,0.005242065,-25.60794357
0.004888974,0.005235772,-29.21006273
0.004882198,0.005229231,-32.75789828
0.004874784,0.005222446,-36.23806303
0.00486675,0.005215422,-39.63952122
0.004858115,0.005208168,-42.95969257
0.004848895,0.005200691,-46.20323535
0.004839106,0.005193,-49.37598281
0.004828761,0.005185105,-52.48090746
0.00481787,0.005177016,-55.5190944
0.004806443,0.005168743,-58.49178944
0.004794485,0.005160294,-61.39920254
0.004782004,0.005151676,-64.23785109
0.004769004,0.005142897,-67.00094519
0.004755489,0.005133958,-69.68161194
0.004741464,0.005124861,-72.27433524
0.004726933,0.005115605,-74.77276547
0.004711903,0.00510619,-77.1675496
0.004696383,0.005096619,-79.44766952
0.00468038,0.0050869,-81.60382862
0.004663903,0.005077045,-83.63011463
0.00464696,0.005067071,-85.52282339
0.004629555,0.005056993,-87.27863359
0.004611695,0.005046828,-88.89456622
0.00459338,0.005036594,-90.369911
0.004574614,0.005026304,-91.70819349
0.004555392,0.005015976,-92.91717498
0.004535714,0.005005623,-94.00633788
0.004515576,0.004995259,-94.9826878
0.004494981,0.004984899,-95.84694103
0.004473934,0.00497456,-96.59317973
0.004452443,0.004964258,-97.21327285
0.004430516,0.004954013,-97.70269626
0.004408164,0.00494384,-98.06229702
0.004385394,0.004933755,-98.29433894
0.004362213,0.004923769,-98.39710822
0.004338627,0.004913889,-98.3639806
0.004314643,0.004904122,-98.18780168
0.004290271,0.004894471,-97.86583515
0.004265526,0.004884941,-97.40193261
0.004240426,0.004875536,-96.80704062
0.004214991,0.004866266,-96.09853148
0.004189242,0.004857138,-95.29647182
0.0041632,0.004848165,-94.41745771
0.004136882,0.004839356,-93.47063995
0.0041103,0.00483072,-92.45883941
0.004083465,0.004822267,-91.38209598
0.004056388,0.004814003,-90.24014267
0.004029083,0.004805936,-89.03431192
0.004001564,0.004798074,-87.77045584
0.003973849,0.004790424,-86.46083226
0.003945954,0.004782987,-85.12122503
0.003917892,0.004775764,-83.76427224
0.003889678,0.004768753,-82.39522777
0.003861324,0.004761959,-81.01419213
0.003832843,0.004755389,-79.62185155
0.003804247,0.004749055,-78.22278353
0.003775549,0.004742974,-76.82399679
0.003746761,0.004737169,-75.43140268
0.003717894,0.004731668,-74.04792928
0.003688961,0.004726496,-72.67392697
0.003659974,0.004721676,-71.30793913
0.00363095,0.004717225,-69.94741195
0.003601908,0.004713153,-68.59102657
0.003572871,0.004709472,-67.2418019
0.003543862,0.004706189,-65.90703382
0.003514902,0.004703315,-64.59405678
0.003486009,0.004700855,-63.30618803
0.0034572,0.004698812,-62.04317377
0.00342849,0.004697191,-60.80465694
0.003399898,0.004695995,-59.59149549
0.00337145,0.004695234,-58.40357214
0.003343168,0.004694918,-57.23839523
0.003315076,0.004695063,-56.09371474
0.003287197,0.004695684,-54.97125375
0.003259548,0.004696797,-53.87622177
0.003232145,0.004698417,-52.81198126
0.003205006,0.00470056,-51.77568768
0.003178148,0.004703242,-50.76064183
0.003151589,0.004706482,-49.76332688
0.003125347,0.004710299,-48.78707896
0.003099433,0.00471471,-47.83801103
0.003073856,0.004719729,-46.91797596
0.003048619,0.004725362,-46.02316728
0.003023728,0.004731605,-45.15032472
0.002999184,0.004738447,-44.30330472
0.00297499,0.00474587,-43.49265458
0.002951146,0.004753848,-42.72920428
0.002927648,0.004762354,-42.01842872
0.002904489,0.004771363,-41.3597178
0.002881663,0.004780846,-40.74949936
0.002859162,0.004790778,-40.18523434
0.002836975,0.004801132,-39.66734323
0.002815088,0.004811885,-39.19705658
0.002793486,0.004823018,-38.77124369
0.00277215,0.004834513,-38.37866097
0.00275106,0.004846355,-38.00195962
0.002730193,0.004858534,-37.62516874
0.002709522,0.00487104,-37.24075253
0.002689024,0.004883867,-36.84977254
